"SiteID","AccountID","AccountName","APIUserName","FullName","FirstName","LastName","UserEmail","UserStatus","AddedDate","MembershipStatus","eSignPermissionProfile","CompanyName","JobTitle","AddressLine1","AddressLine2","City","StateRegionProvince","PostalCode","Country","Phone","Groups","EnableCLM","CLMPermissionProfile","IdentityProviderInfo"
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","4c084b7a-c92f-4b66-ba00-bf36f69e5c4e","0824admin1phpajw4","aaron","Jacksonwilde","0824admin1phpajw4@jacksonwilde.com","Active","8/25/2021 12:37:04 AM","Active","cool cats - updated 2020-06-18-17:15 ","","","","","","","","","","[Administrators],[MonStars NBA],[Everyone]","False","",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","e3e72e73-a1dd-44aa-9e14-064592a3453b","0824admin1phpajwt1","0824php","user","0824admin1phpajwt1@jacksonwilde.com","Active","8/24/2021 9:24:56 PM","Active","impossermission","","","","","","","","","","[Everyone]","False","",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","ced88d53-759b-406d-9eee-47a1ab78513d","0824Javaex1User","aaron","jacksonwdile","aaronjavaex1@jacksonwilde.com","Pending","8/24/2021 9:34:57 AM","Pending","balaam prophecies","","","","","","","","","","[Everyone]","False","",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","4276ce9b-c8c6-488d-859b-cd0cc8ed625d","816e","816","e","816e@jacksonwilde.com","Pending","8/17/2021 12:05:17 AM","Pending","Account Administrator","","","","","","","","","","[Everyone]","False","",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","c67bdef5-1318-4d86-bc49-d38ad9f63fce","817a","817","a","817a@jacksonwilde.com","Pending","8/17/2021 10:27:18 PM","Pending","Account Administrator","","","","","","","","","","[Everyone]","False","",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","0a8b31d2-821d-49d0-95ef-2c7e7dbcdbf9","817b","817","b","817b@jacksonwilde.com","Active","8/17/2021 10:43:09 PM","Active","Account Administrator","","","","","","","","","","[Everyone]","False","",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","6702d4aa-fdb2-445f-8790-97ebb9ab477a","817d","817","d","817d@jacksonwilde.com","Active","8/17/2021 11:07:38 PM","Active","Account Administrator","","","","","","","","","","[Everyone]","False","",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","4d946bc4-12e6-4c54-bacb-584c2545a2d3","817e","817","e","817e@jacksonwilde.com","Pending","8/18/2021 12:05:05 AM","Pending","Account Administrator","","","","","","","","","","[Everyone]","False","",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","40f17cf6-a17a-4749-afa1-22488cbac6c8","818a","818","a","818a@jacksonwilde.com","Active","8/18/2021 5:38:24 PM","Active","Account Administrator","","","","","","","","","","[Everyone]","False","",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","455d7450-0031-4ac0-a556-23bd1c14b311","818b","818","b","818b@jacksonwilde.com","Active","8/18/2021 6:56:06 PM","Active","Account Administrator","","","","","","","","","","[Everyone]","False","",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","f71a2012-ba51-4f1d-bfce-57c5873896f1","818c","818","c","818c@jacksonwilde.com","Active","8/18/2021 9:10:02 PM","Active","balaam prophecies","","","","","","","","","","[Everyone]","False","",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","23183b0d-571e-41d0-bb03-e8b9152a1057","818d","818","d","818d@jacksonwilde.com","Active","8/18/2021 11:29:34 PM","Active","Account Administrator","","","","","","","","","","[testGroupUI],[Everyone]","True","CLM Admin",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","cd4d605a-d875-4151-8625-82e4f388da91","818e","818","e","818e@orobia.net","Active","8/18/2021 11:36:35 PM","Active","DS Manage Company Member Accounts","","","","","","","","","","[testGroupUI],[Everyone]","True","CLM Viewer",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","3e5fe6bf-5c02-493f-b093-d1a77d4bfc90","818f","818","f","818f@jacksonwilde.com","Active","8/19/2021 12:00:38 AM","Active","Account Administrator","","","","","","","","","","[Everyone]","False","",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","21d5fdeb-ccc2-4be2-b103-74f6b1b4e4e9","818g","818","g","818g@jacksonwilde.com","Active","8/19/2021 12:02:42 AM","Active","DS Manage Company Member Accounts","","","","","","","","","","[testGroupUI],[Everyone]","False","",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","93d3ec60-ee73-4ed7-8a9e-cef2f5f9ffee","819a","819","a","819a@jacksonwilde.com","Active","8/19/2021 5:28:46 PM","Active","Account Administrator","","","","","","","","","","[testGroupUI],[Everyone]","True","CLM Admin",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","347c6423-6550-4ed7-98fa-1281b8b27b57","819b","819","b","819b@jacksonwilde.com","Active","8/19/2021 8:51:51 PM","Active","Account Administrator","","","","","","","","","","[Everyone]","False","",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","781ed790-a003-440d-8bc3-4a7164773013","819c","819","c","819c@jacksonwilde.com","Active","8/19/2021 8:59:38 PM","Active","Account Administrator","","","","","","","","","","[testGroupUI],[Everyone]","True","CLM Admin",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","761127cf-a9c5-4355-9b34-0b909900f9e9","819d","819","d","819d@jacksonwilde.com","Active","8/19/2021 9:25:48 PM","Active","Account Administrator","","","","","","","","","","[Everyone]","False","",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","45993b76-db4f-404a-9e6e-55b333c0dc60","819e","819","e","819e@jacksonwilde.com","Active","8/19/2021 9:28:16 PM","Active","Account Administrator","","","","","","","","","","[MonStars NBA],[Everyone]","True","CLM Admin",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","61a5c293-8cf4-45e4-b80c-40b0b7d2f1f5","819g","819","g","819g@jacksonwilde.com","Active","8/19/2021 11:31:47 PM","Active","Account Administrator","","","","","","","","","","[testGroupUI],[Everyone]","True","CLM Admin",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","bb48f589-7be8-41ea-8ec5-650fbd78a7ec","823a","823","a","823a@jacksonwilde.com","Active","8/23/2021 6:48:23 PM","Active","DocuSign Sender","","","","","","","","","","[Administrators],[MonStars NBA],[Everyone]","False","",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","c6c4a69e-e805-4688-a7f5-9b0bd0a1f3ea","823b","823","b","823b@jacksonwilde.com","Pending","8/23/2021 7:12:02 PM","Pending","DS Manage Company Member Accounts","","","","","","","","","","[testGroupUI],[Everyone]","False","",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","262456ef-e76e-478e-90db-72b4470b4a74","823c","823","c","823c@jacksonwilde.com","Pending","8/23/2021 7:21:42 PM","Pending","Account Administrator","","","","","","","","","","[Everyone]","False","",""
"1","2255f473-48bf-4d51-b6bd-c07c9abc6d76","Aaron JacksonWilde","7e1e7d51-111b-4638-b60a-0ad43df27690","823d","823","d","823d@jacksonwilde.com","Active","8/23/2021 8:09:28 PM","Active","DS Manage Company Member Accounts","","","","","","","","","","[Administrators],[MonStars NBA],[Everyone]","False","",""
